Algorithm,Data Type,Data Variation,size,operations,Start Time,End Time,Elapsed,MaxValue
QUICK,simple,sorted simple Numeric,10,29,107956367407100,107956368347100,940,0
QUICK,simple,sorted simple Numeric,50,300,107956390592800,107956390745800,153,0
QUICK,simple,sorted simple Numeric,100,775,107956391962500,107956392351200,388,0
QUICK,simple,sorted simple Numeric,500,5164,107956393645900,107956394395000,749,0
QUICK,simple,sorted simple Numeric,1000,11553,107956413368600,107956414150000,781,0
QUICK,simple,sorted simple Numeric,5000,84162,107956498702000,107956502331100,3629,0
QUICK,simple,sorted simple Numeric,10000,162842,107956565430800,107956587277800,21847,0
QUICK,simple,sorted simple Numeric,50000,1018268,107956695221700,107956801003300,105781,0
QUICK,simple,sorted simple Numeric,75000,1488549,107957437664000,107957487086000,49422,0
QUICK,simple,sorted simple Numeric,100000,2102178,107958250015300,107958322761600,72746,0
Algorithm,Data Type,Data Variation,size,operations,Start Time,End Time,Elapsed,MaxValue
QUICK,integer,sorted,10,33,107959532234400,107959532419900,185,100000
QUICK,integer,sorted,50,329,107959532948900,107959533081600,132,100000
QUICK,integer,sorted,100,753,107959533184600,107959533357900,173,100000
QUICK,integer,sorted,500,5321,107959533518400,107959534030100,511,100000
QUICK,integer,sorted,1000,12613,107959534718600,107959535615000,896,100000
QUICK,integer,sorted,5000,78052,107959631413000,107959634885700,3472,100000
QUICK,integer,sorted,10000,170951,107959830331100,107959837395600,7064,100000
QUICK,integer,sorted,50000,1049897,107959880930400,107959894297700,13367,100000
QUICK,integer,sorted,75000,1570079,107960117059300,107960139063100,22003,100000
QUICK,integer,sorted,100000,2157536,107960586892700,107960614266900,27374,100000
Algorithm,Data Type,Data Variation,size,operations,Start Time,End Time,Elapsed,MaxValue
QUICK,integer,random Large,10,39,107961223060900,107961223143500,82,100000
QUICK,integer,random Large,50,300,107961223371400,107961223384100,12,100000
QUICK,integer,random Large,100,689,107961223463400,107961223479400,16,100000
QUICK,integer,random Large,500,5625,107961223678400,107961223751100,72,100000
QUICK,integer,random Large,1000,12213,107961236076800,107961236231000,154,100000
QUICK,integer,random Large,5000,75088,107961270499800,107961271794800,1295,100000
QUICK,integer,random Large,10000,157477,107961404567900,107961406324900,1757,100000
QUICK,integer,random Large,50000,1010302,107961497509700,107961508755900,11246,100000
QUICK,integer,random Large,75000,1520663,107961945940800,107961964650700,18709,100000
QUICK,integer,random Large,100000,2034497,107962603373800,107962628235900,24862,100000
Algorithm,Data Type,Data Variation,size,operations,Start Time,End Time,Elapsed,MaxValue
QUICK,simple,sorted simple Numeric,10,37,120628036345800,120628037998000,1652,0
QUICK,simple,sorted simple Numeric,50,286,120628091277600,120628091965900,688,0
QUICK,simple,sorted simple Numeric,100,728,120628094395200,120628095026900,631,0
QUICK,simple,sorted simple Numeric,500,5326,120628099725800,120628102021300,2295,0
QUICK,simple,sorted simple Numeric,1000,11523,120628153920500,120628155033000,1112,0
QUICK,simple,sorted simple Numeric,5000,77045,120628340558500,120628347452400,6893,0
QUICK,simple,sorted simple Numeric,10000,155323,120628451990600,120628484255300,32264,0
QUICK,simple,sorted simple Numeric,50000,1013104,120628684509100,120628933638700,249129,0
QUICK,simple,sorted simple Numeric,75000,1532596,120630205580000,120630365304400,159724,0
QUICK,simple,sorted simple Numeric,100000,2132773,120631818572700,120632039004700,220432,0
Algorithm,Data Type,Data Variation,size,operations,Start Time,End Time,Elapsed,MaxValue
QUICK,integer,sorted,10,27,120634700966400,120634701198700,232,100000
QUICK,integer,sorted,50,302,120634702476000,120634702821400,345,100000
QUICK,integer,sorted,100,765,120634703125600,120634706576200,3450,100000
QUICK,integer,sorted,500,5188,120634708754700,120634711061300,2306,100000
QUICK,integer,sorted,1000,12073,120634723541000,120634725586200,2045,100000
QUICK,integer,sorted,5000,73324,120634733843400,120634745907400,12064,100000
QUICK,integer,sorted,10000,155324,120635162408400,120635166159900,3751,100000
QUICK,integer,sorted,50000,983455,120635280100200,120635313279300,33179,100000
QUICK,integer,sorted,75000,1497115,120635937672500,120635980255300,42582,100000
QUICK,integer,sorted,100000,2199312,120637019118400,120637055342000,36223,100000
Algorithm,Data Type,Data Variation,size,operations,Start Time,End Time,Elapsed,MaxValue
QUICK,integer,random Large,10,41,120638446532900,120638446574200,41,100000
QUICK,integer,random Large,50,321,120638448207000,120638448235400,28,100000
QUICK,integer,random Large,100,701,120638451304900,120638451789700,484,100000
QUICK,integer,random Large,500,4901,120638454662000,120638455572400,910,100000
QUICK,integer,random Large,1000,12667,120638474924400,120638475344400,420,100000
QUICK,integer,random Large,5000,72581,120638589260200,120638591236300,1976,100000
QUICK,integer,random Large,10000,160145,120638894668000,120638898198100,3530,100000
QUICK,integer,random Large,50000,979933,120639099355300,120639120688600,21333,100000
QUICK,integer,random Large,75000,1599034,120640121212700,120640166169400,44956,100000
QUICK,integer,random Large,100000,2186575,120641427914900,120641493567900,65653,100000
